size;2000
trials;100000
;0;1;2;
216;82;;;
217;83;;;
218;1448;;;
219;4461;83;;
220;10775;632;;
221;18780;2084;;
222;22775;6795;;
223;20199;13875;;
224;13854;20508;;
225;5726;23339;;
226;1492;17973;;
227;325;9947;;
228;;3640;;
229;;844;;
230;;280;;
231;;;;
232;;;;
233;;;;
234;;;;
235;;;;
236;;;;
237;;;;
238;;;;
239;;;;
240;;;;
241;;;;
242;;;;
243;;;;
244;;;;
245;;;;
246;;;;
247;;;;
248;;;;
249;;;;
250;;;96;
251;;;553;
252;;;1937;
253;;;6070;
254;;;13330;
255;;;20477;
256;;;23677;
257;;;17127;
258;;;10609;
259;;;4199;
260;;;1580;
261;;;345;
